rank,iso3,country,c_j_total,c_elec,c_hw,c_constr,pue,p_E,theta_summer,p_L,cost_source,elec_source
42,MEX,Mexico,1.496867208344197,.083440875,1.358060906315526,.0553654270286714,1.25475,.095,26.65,10.4,DCCI,"Climatescope/BloombergNEF 2025, industrial 2024"
65,MKD,North Macedonia,1.525109754105016,.114930816,1.358060906315526,.0521180317894897,1.2144,.1352,23.96,9.789999999999999,predicted,Eurostat
49,MLT,Malta,1.505563734591441,.097461,1.358060906315526,.0500418282759145,1.26,.1105,27,9.4,predicted,Eurostat
13,MNE,Montenegro,1.454744745493866,.041957244,1.358060906315526,.0547265951783406,1.1799,.0508,21.66,10.28,predicted,Eurostat
50,MYS,Malaysia,1.505762694134372,.08717247,1.358060906315526,.0605293178188455,1.2579,.099,26.86,11.37,DCCI,"Climatescope/BloombergNEF 2025, industrial 2024"
11,NGA,Nigeria,1.452938683219473,.03897999,1.358060906315526,.0558977869039471,1.32585,.042,31.39,10.5,DCCI,"Climatescope/BloombergNEF 2025, weighted avg industrial"
59,NLD,Netherlands,1.518920944832828,.103311936,1.358060906315526,.0575481025173017,1.1388,.1296,18.92,10.81,DCCI,Eurostat
20,NOR,Norway,1.465026366837239,.0408996,1.358060906315526,.0660658605217127,1.08,.0541,14.5,12.41,DCCI,Eurostat
40,NZL,New Zealand,1.496308795974435,.072767625,1.358060906315526,.0654802646589094,1.09425,.095,15.95,12.3,DCCI,"MBIE New Zealand 2024, industrial avg"
57,PAK,Pakistan,1.515333390121139,.12229644,1.358060906315526,.0349760438056126,1.3038,.134,29.92,6.57,predicted,"Climatescope/BloombergNEF 2025, industrial 2024"
51,PHL,Philippines,1.507316650339786,.102408075,1.358060906315526,.0468476690242604,1.27215,.115,27.81,8.800000000000001,predicted,"MERALCO Philippines 2024, industrial"
46,POL,Poland,1.502550546890779,.095725476,1.358060906315526,.0487641645752529,1.1511,.1188,19.74,9.16,DCCI,Eurostat
48,PRT,Portugal,1.504046621031284,.0914188275,1.358060906315526,.0545668872157579,1.19925,.1089,22.95,10.25,DCCI,Eurostat
15,QAT,Qatar,1.456379247523222,.03518046,1.358060906315526,.0631378812076964,1.39605,.036,36.07,11.86,predicted,"Kahramaa Qatar 2024, industrial tariff"
69,ROU,Romania,1.537116134790999,.129865176,1.358060906315526,.0491900524754734,1.1862,.1564,22.08,9.24,predicted,Eurostat
8,RUS,Russia,1.444255589394087,.0310422,1.358060906315526,.0551524830785611,1.10865,.04,16.91,10.36,predicted,"GlobalPetrolPrices 2024, nat'l avg industrial"
25,SAU,Saudi Arabia,1.470179451171789,.051748935,1.358060906315526,.0603696098562628,1.39485,.053,35.99,11.34,DCCI,"Climatescope/BloombergNEF 2025, industrial 2024"
82,SEN,Senegal,1.583000293219473,.1690416,1.358060906315526,.0558977869039471,1.3416,.18,32.44,10.5,predicted,"Senelec Senegal 2024, industrial tariff"
80,SGP,Singapore,1.565586546193083,.13017375,1.358060906315526,.0773518898775572,1.2825,.145,28.5,14.53,DCCI,EMA USEP + network charges
56,SRB,Serbia,1.513231643656008,.10113621,1.358060906315526,.0540345273404822,1.203,.1201,23.2,10.15,predicted,Eurostat
73,SVK,Slovakia,1.54594339381815,.134540028,1.358060906315526,.0533424595026238,1.1691,.1644,20.94,10.02,predicted,Eurostat
