iso3,country,region,gdp_pcap_ppp,population,predicted_usd_per_watt,actual_usd_per_watt,source
VUT,Vanuatu,East Asia & Pacific,3567.82,320409,9.55,,predicted
KAZ,Kazakhstan,Europe & Central Asia,38515.18,20330104,9.53,,predicted
XKX,Kosovo,Europe & Central Asia,15804.41,1682668,9.48,,predicted
LAO,Lao PDR,East Asia & Pacific,9291.79,7664993,9.47,,predicted
TLS,Timor-Leste,East Asia & Pacific,4806.82,1384286,9.44,,predicted
ATG,Antigua and Barbuda,Latin America & Caribbean ,31601.75,93316,9.42,,predicted
BRA,Brazil,Latin America & Caribbean ,21175.62,211140729,9.41,10.75,DCCI
MLT,Malta,"Middle East, North Africa, Afghanistan & Pakistan",66568.6,552747,9.4,,predicted
COD,"Congo, Dem. Rep.",Sub-Saharan Africa ,1730.62,105789731,9.38,,predicted
CUW,Curacao,Latin America & Caribbean ,30651.59,154654,9.31,,predicted
GUY,Guyana,Latin America & Caribbean ,54729.04,826353,9.31,,predicted
MDV,Maldives,South Asia,24786.2,525994,9.31,,predicted
BHS,"Bahamas, The",Latin America & Caribbean ,39090.12,399440,9.26,,predicted
DMA,Dominica,Latin America & Caribbean ,20285.98,66510,9.25,,predicted
ROU,Romania,Europe & Central Asia,47038.53,19061062,9.24,,predicted
TKM,Turkmenistan,Europe & Central Asia,19828.92,7364438,9.24,,predicted
SLB,Solomon Islands,East Asia & Pacific,2596.56,800005,9.22,,predicted
MDA,Moldova,Europe & Central Asia,17746.94,2457783,9.21,,predicted
KHM,Cambodia,East Asia & Pacific,7430.73,17423880,9.2,,predicted
CHN,China,East Asia & Pacific,25179.12,1410710000,9.2,6.12,DCCI
LCA,St. Lucia,Latin America & Caribbean ,25974.51,179285,9.2,,predicted
BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",64171.09,1577059,9.19,,predicted
BIH,Bosnia and Herzegovina,Europe & Central Asia,23335.6,3185073,9.17,,predicted
VCT,St. Vincent and the Grenadines,Latin America & Caribbean ,19819.87,101323,9.16,,predicted
GRD,Grenada,Latin America & Caribbean ,18970.74,117081,9.12,,predicted
BRB,Barbados,Latin America & Caribbean ,23660.4,282336,9.07,,predicted
PNG,Papua New Guinea,East Asia & Pacific,4667.84,10389635,9.06,,predicted
BTN,Bhutan,South Asia,16215.15,786385,9.03,,predicted
PRI,Puerto Rico (US),Latin America & Caribbean ,47543.39,3203792,8.99,,predicted
TTO,Trinidad and Tobago,Latin America & Caribbean ,34623.37,1367510,8.98,,predicted
IDN,Indonesia,East Asia & Pacific,15415.71,281190067,8.93,11.21,DCCI
KEN,Kenya,Sub-Saharan Africa ,6317.04,55339003,8.9,9.74,DCCI
KWT,Kuwait,"Middle East, North Africa, Afghanistan & Pakistan",53025.47,4853420,8.9,,predicted
MMR,Myanmar,East Asia & Pacific,5953.36,54133798,8.89,,predicted
SUR,Suriname,Latin America & Caribbean ,21110.2,628886,8.87,,predicted
PAN,Panama,Latin America & Caribbean ,39813.39,4458759,8.85,,predicted
PHL,Philippines,East Asia & Pacific,10985.83,114891199,8.8,,predicted
COL,Colombia,Latin America & Caribbean ,21246.38,52321152,8.79,7.49,DCCI
MEX,Mexico,Latin America & Caribbean ,25243.16,129739759,8.77,10.4,DCCI
OMN,Oman,"Middle East, North Africa, Afghanistan & Pakistan",41945.03,5049269,8.77,,predicted
VNM,Viet Nam,East Asia & Pacific,15033.88,100352192,8.76,,predicted
BLZ,Belize,Latin America & Caribbean ,13729.89,411106,8.74,,predicted
CRI,Costa Rica,Latin America & Caribbean ,28908.77,5105525,8.67,,predicted
IRN,"Iran, Islamic Rep.","Middle East, North Africa, Afghanistan & Pakistan",18917.09,90608707,8.5,,predicted
DZA,Algeria,"Middle East, North Africa, Afghanistan & Pakistan",16824.49,46164219,8.48,,predicted
DOM,Dominican Republic,Latin America & Caribbean ,25839.94,11331265,8.48,,predicted
LKA,Sri Lanka,South Asia,14455.65,22037000,8.4,,predicted
PRY,Paraguay,Latin America & Caribbean ,17564.49,6844146,8.38,,predicted
JAM,Jamaica,Latin America & Caribbean ,12650.91,2839786,8.37,,predicted
UZB,Uzbekistan,Europe & Central Asia,11106.97,35652307,8.37,,predicted
SLV,El Salvador,Latin America & Caribbean ,12679.58,6309624,8.24,,predicted
DJI,Djibouti,"Middle East, North Africa, Afghanistan & Pakistan",7225.84,1152944,8.19,,predicted
LBY,Libya,"Middle East, North Africa, Afghanistan & Pakistan",13847.08,7305659,8.19,,predicted
ECU,Ecuador,Latin America & Caribbean ,15918.52,17980083,8.18,,predicted
LBN,Lebanon,"Middle East, North Africa, Afghanistan & Pakistan",12574.83,5773493,8.18,,predicted
BOL,Bolivia,Latin America & Caribbean ,12892.12,12244159,8.15,,predicted
GTM,Guatemala,Latin America & Caribbean ,13745.36,18124838,8.11,,predicted
PER,Peru,Latin America & Caribbean ,17011.23,33845617,8.11,,predicted
TUN,Tunisia,"Middle East, North Africa, Afghanistan & Pakistan",14040.6,12200431,8.11,,predicted
NPL,Nepal,South Asia,5395.21,29694614,8.09,,predicted
ETH,Ethiopia,Sub-Saharan Africa ,3060.91,128691692,8.08,,predicted
NIC,Nicaragua,Latin America & Caribbean ,8319.98,6823613,8.04,,predicted
JOR,Jordan,"Middle East, North Africa, Afghanistan & Pakistan",10411.84,11439213,7.99,,predicted
IRQ,Iraq,"Middle East, North Africa, Afghanistan & Pakistan",14652.52,45074049,7.93,,predicted
HND,Honduras,Latin America & Caribbean ,7178.34,10644851,7.91,,predicted
BGD,Bangladesh,South Asia,9147.78,171466990,7.87,,predicted
PSE,West Bank and Gaza,"Middle East, North Africa, Afghanistan & Pakistan",5950.02,5165775,7.87,,predicted
KGZ,Kyrgyz Republic,Europe & Central Asia,7298.09,7099750,7.83,,predicted
MAR,Morocco,"Middle East, North Africa, Afghanistan & Pakistan",9894.65,37712505,7.82,,predicted
EGY,"Egypt, Arab Rep.","Middle East, North Africa, Afghanistan & Pakistan",18524.84,114535772,7.63,,predicted
HTI,Haiti,Latin America & Caribbean ,3291.74,11637398,7.56,,predicted
TJK,Tajikistan,Europe & Central Asia,4963.58,10389799,7.32,,predicted
IND,India,South Asia,10323.5,1438069596,6.73,6.64,DCCI
PAK,Pakistan,"Middle East, North Africa, Afghanistan & Pakistan",6013.99,247504495,6.57,,predicted
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",2201.72,41454761,6.05,,predicted
