iso3,country,rank_raw,rank_cr,delta_rank,c_j_raw,c_j_cr,p_E,p_E_cr,pue_calc,theta,c_elec,c_elec_cr,c_hardware,c_network,c_construct,dc_cap_mw,omega,k_bar,bloc,sanctioned,is_exporter_0,export_pct_0,is_exporter_b,export_pct_b,inf_source,P_I_best,P_I_domestic,imports_inf,lambda_min_k,lambda_star_k,lambda_usa,p_bilat_usa,regime,is_dom_train,is_dom_inf,welfare_train_k,welfare_inf_k,rank_orig,c_j_total_csv,c_j_elec_csv,c_j_hw_csv,c_j_constr_csv,pue,p_L,cost_source,n_datacenters,source_tier,cr_adjusted,subsidy_gap,total_dc,eu,apec_cbpr,depa,export_share_0,hhi_T_0,export_share_b,hhi_T_b,inf_rev_share,hhi_I,welfare_train,welfare_inf,weighted_avg_cost,is_inf_exporter,developing,c_j_baseline,rank_baseline,c_j_low_hw,rank_low_hw,c_j_high_hw,rank_high_hw
NGA,Nigeria,11,31,-20,1.602943093219473,1.638214693219473,.042,.08,1.326,31.4,.0389844,.074256,1.358060906315526,.15,.0558977869039471,100,.0008080938681837,876600000,N,0,0,,0,,NGA,1.638385067547568,1.638385067547568,0,.035,.0289844096982104,.045,1.71193435441435,DD,1,1,.0000482771508791,0,11,1.45294,.03898,1.35806,.0559,1.326,10.5,DCCI,19,3,1,38,123748,0,0,0,0,.9958317567941819,0,.9954332500476588,,,.0536757609503397,.0436109611068962,1.632148445499952,0,1,1.638214693219473,31,1.580153786903947,31,1.700153786903947,31
ISL,Iceland,36,32,4,1.642108182762405,1.642108182762405,.0895,.0895,1.08,8.699999999999999,.067662,.067662,1.358060906315526,.15,.0663852764468781,60,.0004848563209102,525960000,W,0,0,,0,,ISL,1.642187003955177,1.642187003955177,0,.025,.031429962198491,.025,1.683160887331465,ID,0,1,.0000308540735427,0,36,1.49211,.06766,1.35806,.06639,1.08,12.47,predicted,6,3,0,,123748,0,0,0,0,.9958317567941819,0,.9954332500476588,,,.0536757609503397,.0436109611068962,1.632148445499952,0,0,1.642108182762404,32,1.584047276446878,32,1.704047276446878,32
ZAF,South Africa,9,33,-24,1.596185613593647,1.642693613593647,.04,.095,1.2075,23.5,.033824,.080332,1.358060906315526,.15,.05430070727812,250,.0020202346704593,2191500000,N,0,0,,0,,ZAF,1.657819536387617,1.657819536387617,0,.035,.0317976790800436,.045,1.71661482620536,DD,1,1,.0001297413474239,0,9,1.44619,.03383,1.35806,.0543,1.208,10.2,DCCI,56,2,1,55,123748,0,0,0,0,.9958317567941819,0,.9954332500476588,,,.0536757609503397,.0436109611068962,1.632148445499952,0,1,1.642693613593646,33,1.58463270727812,33,1.70463270727812,33
GBR,United Kingdom,37,34,3,1.645596469498278,1.645596469498278,.0971,.0971,1.0935,15.9,.07429121,.07429121,1.358060906315526,.15,.0632443531827515,2590,.0209296311859586,22703940000,W,0,0,,0,,GBR,1.657076150469498,1.657076150469498,0,.025,.0336210014332305,.025,1.686736381235735,IE,0,1,.0014048760627812,0,37,1.49562,.07431,1.35806,.06324,1.093,11.88,DCCI,523,1,0,,123748,0,0,0,0,.9958317567941819,0,.9954332500476588,.010181982739115,.259057001183021,.0536757609503397,.0436109611068962,1.632148445499952,1,0,1.645596469498277,34,1.587535563182751,34,1.707535563182751,34
BLR,Belarus,38,35,3,1.645974968708104,1.645974968708104,.099,.099,1.152,19.8,.0798336,.0798336,1.358060906315526,.15,.0580804623925774,35,.0002828328538643,306810000,C,1,0,,0,,UKR,1.631099925361964,1.652558868582936,1,.025,.0338587418146383,,,DD,0,0,.0000190918636709,6.06929415210e-06,38,1.496,.07985,1.35806,.05808,1.152,10.91,predicted,9,3,0,,123748,0,0,0,0,.9958317567941819,0,.9954332500476588,,,.0536757609503397,.0436109611068962,1.632148445499952,0,0,1.645974968708103,35,1.587914062392577,35,1.707914062392577,35
AUS,Australia,39,36,3,1.64599794099497,1.64599794099497,.09,.09,1.287,28.8,.081081,.081081,1.358060906315526,.15,.0568560346794433,2670,.0215761062805055,23405220000,W,0,0,,0,,AUS,1.682446919400362,1.682446919400362,0,0,.0338731710131663,0,1.64599794099497,ID,0,1,.0014569321096834,0,39,1.49601,.08109,1.35806,.05686,1.287,10.68,DCCI,314,1,0,,123748,0,1,0,0,.9958317567941819,0,.9954332500476588,,,.0536757609503397,.0436109611068962,1.632148445499952,0,0,1.645997940994969,36,1.587937034679443,36,1.707937034679443,36
NZL,New Zealand,40,37,3,1.646292170974436,1.646292170974436,.095,.095,1.0935,15.9,.072751,.072751,1.358060906315526,.15,.0654802646589094,250,.0020202346704593,2191500000,W,0,0,,0,,NZL,1.656117242650811,1.656117242650811,0,.02,.0340579807716124,.025,1.687449475248797,ID,0,1,.0001370112778082,0,40,1.49631,.07277,1.35806,.06548,1.094,12.3,DCCI,83,2,0,,123748,0,0,1,0,.9958317567941819,0,.9954332500476588,,,.0536757609503397,.0436109611068962,1.632148445499952,0,0,1.646292170974435,37,1.588231264658909,37,1.708231264658909,37
MAR,Morocco,41,38,3,1.646686248562085,1.646686248562085,.108,.108,1.2825,28.5,.0969948,.0969948,1.358060906315526,.15,.0416305422465587,50,.0004040469340919,438300000,N,0,0,,0,,MAR,1.646738942522039,1.646738942522039,0,.035,.0343055061390631,.045,1.720787129747379,DD,1,1,.0000275614814027,0,41,1.49669,.097,1.35806,.04163,1.283,7.82,predicted,12,3,0,,123748,0,0,0,0,.9958317567941819,0,.9954332500476588,,,.0536757609503397,.0436109611068962,1.632148445499952,0,1,1.646686248562085,38,1.588625342246559,38,1.708625342246558,38
MEX,Mexico,42,39,3,1.646883833344198,1.646883833344198,.095,.095,1.254,26.6,.0834575,.0834575,1.358060906315526,.15,.0553654270286714,900,.0072728448136536,7889400000.000001,N,0,0,,0,,MEX,1.690862219229821,1.690862219229821,0,.01,.0344296117652849,.02,1.679821510011082,ID,0,1,.0004975436687068,0,42,1.49687,.08344,1.35806,.05537,1.255,10.4,DCCI,173,2,0,,123748,0,1,0,0,.9958317567941819,0,.9954332500476588,,,.0536757609503397,.0436109611068962,1.632148445499952,0,1,1.646883833344197,39,1.588822927028671,39,1.708822927028671,39
FRA,France,43,40,3,1.64745164130678,1.64745164130678,.1024,.1024,1.17,21,.0838656,.0838656,1.358060906315526,.15,.0555251349912541,1400,.0113133141545722,12272400000,W,0,0,,0,,XKX,1.655967111649013,1.670990430357772,1,0,.034786259488943,.025,1.68863793233945,II,0,0,.0007803806078485,.0001699635241965,43,1.49745,.08387,1.35806,.05553,1.17,10.43,DCCI,322,1,0,,123748,1,0,0,0,.9958317567941819,0,.9954332500476588,,,.0536757609503397,.0436109611068962,1.632148445499952,0,0,1.64745164130678,40,1.589390734991254,40,1.709390734991254,40
ARM,Armenia,44,41,3,1.649529630142433,1.649529630142433,.111,.111,1.152,19.8,.0895104,.0895104,1.358060906315526,.15,.051958323826907,10,.0000808093868184,87660000,N,0,0,,0,,AZE,1.632420632523521,1.656127748663003,1,.035,.036091471879153,.045,1.723758463498843,II,0,0,5.74206820254e-06,1.91575751846e-06,44,1.49949,.08948,1.35806,.05196,1.152,9.76,predicted,2,3,0,,123748,0,0,0,0,.9958317567941819,0,.9954332500476588,,,.0536757609503397,.0436109611068962,1.632148445499952,0,1,1.649529630142433,41,1.591468723826907,41,1.711468723826907,41
