iso3,country,pue,p_E,c_elec,c_hardware,c_construction,c_j_total,theta_summer_C,p_L_usd_per_W,rank_symmetric
KEN,Kenya,1.266,0.088,0.07799,1.36,0.05185,1.48984,27.4,9.74,28
BIH,Bosnia and Herz.,1.179,0.0985,0.08129,1.36,0.04882,1.49011,21.6,9.17,29
NGA,Nigeria,1.326,0.08,0.07426,1.36,0.0559,1.49015,31.4,10.5,30
ZAF,South Africa,1.2075,0.095,0.0803,1.36,0.0543,1.4946,23.5,10.2,31
ISL,Iceland,1.08,0.09198,0.06954,1.36,0.06639,1.49592,8.7,12.47,32
BLR,Belarus,1.152,0.099,0.07983,1.36,0.05808,1.49791,19.8,10.91,33
AUS,Australia,1.287,0.09,0.08108,1.36,0.05686,1.49794,28.8,10.68,34
MAR,Morocco,1.2825,0.108,0.09696,1.36,0.04163,1.49859,28.5,7.82,35
MEX,Mexico,1.254,0.095,0.08339,1.36,0.05537,1.49876,26.6,10.4,36
USA,United States of America,1.1985,0.09771,0.08197,1.36,0.05739,1.49936,22.9,10.78,37
ARM,Armenia,1.152,0.111,0.08951,1.36,0.05196,1.50147,19.8,9.76,38
NZL,New Zealand,1.0935,0.09935,0.07605,1.36,0.06548,1.50153,15.9,12.3,39
ARE,United Arab Emirates,1.4115,0.095,0.09386,1.36,0.04919,1.50305,37.1,9.24,40
CHL,Chile,1.08,0.13,0.09828,1.36,0.04584,1.50412,13.4,8.61,41
GBR,United Kingdom,1.0935,0.10656,0.08157,1.36,0.06324,1.50481,15.9,11.88,42
MYS,Malaysia,1.2585,0.099,0.08721,1.36,0.06053,1.50774,26.9,11.37,43
PHL,Philippines,1.272,0.115,0.1024,1.36,0.04685,1.50924,27.8,8.8,44
ISR,Israel,1.278,0.108,0.09662,1.36,0.05372,1.51033,28.2,10.09,45
THA,Thailand,1.2945,0.108,0.09786,1.36,0.0534,1.51126,29.3,10.03,46
PRT,Portugal,1.1985,0.11741,0.0985,1.36,0.05457,1.51307,22.9,10.25,47
FRA,France,1.17,0.12095,0.09906,1.36,0.05553,1.51458,21.0,10.43,48
SRB,Serbia,1.203,0.1201,0.10114,1.36,0.05403,1.51517,23.2,10.15,49
LVA,Latvia,1.131,0.12409,0.09824,1.36,0.05813,1.51638,18.4,10.92,50
PAK,Pakistan,1.3035,0.134,0.12227,1.36,0.03498,1.51724,29.9,6.57,51
SAU,Saudi Arabia,1.395,0.1,0.09765,1.36,0.06037,1.51802,36.0,11.34,52
QAT,Qatar,1.3965,0.1,0.09776,1.36,0.06314,1.52089,36.1,11.86,53
LUX,Luxembourg,1.125,0.13267,0.10448,1.36,0.05851,1.52298,18.0,10.99,54
MDA,Moldova,1.218,0.1348,0.11493,1.36,0.04903,1.52396,24.2,9.21,55
MKD,North Macedonia,1.215,0.1352,0.11499,1.36,0.05212,1.52711,24.0,9.79,56
GHA,Ghana,1.3155,0.12,0.1105,1.36,0.05749,1.528,30.7,10.8,57
ESP,Spain,1.2285,0.13445,0.11562,1.36,0.05345,1.52907,24.9,10.04,58
BEL,Belgium,1.14,0.14655,0.11695,1.36,0.05308,1.53002,19.0,9.97,59
MLT,Malta,1.26,0.13746,0.12124,1.36,0.05004,1.53128,27.0,9.4,60
DNK,Denmark,1.113,0.13888,0.1082,1.36,0.06399,1.53219,17.2,12.02,61
LTU,Lithuania,1.137,0.14464,0.11512,1.36,0.0584,1.53352,18.8,10.97,62
ALB,Albania,1.2105,0.1474,0.1249,1.36,0.05084,1.53574,23.7,9.55,63
KOR,South Korea,1.245,0.145,0.12637,1.36,0.05361,1.53998,26.0,10.07,64
POL,Poland,1.1505,0.16562,0.13338,1.36,0.04876,1.54215,19.7,9.16,65
SVN,Slovenia,1.1805,0.16119,0.1332,1.36,0.05414,1.54734,21.7,10.17,66
