iso,country,G,R,cr_pe,theta,pue,constr_per_w,mw,omega_share,xi_old,xi_new,c_cr,c_adj_old,c_adj_new,rank_old,rank_new,rank_cr
JPN,Japan,0.924528274536133,0.98,0.135,25.2,1.234,14.64,2400.0,0.019394252836409477,0.9663020917213536,0.9518601310305052,1.6246739063155264,1.6339715167593685,1.638157730742198,28,19,66
AUT,Austria,0.9716981506347661,1.0,0.1595,18.6,1.134,11.81,250.0,0.0020202346704593205,0.9900232559928943,0.9857475085612776,1.6346720063155264,1.637459494505848,1.6386714050463025,31,20,72
ARE,United Arab Emirates,0.7877358245849609,0.95,0.095,37.1,1.412,9.24,500.0,0.004040469340918641,0.9055501848272356,0.8650716926103367,1.6019589063155264,1.6273977184398944,1.6400005444789745,20,21,44
KOR,South Korea,0.8584906005859381,0.98,0.125,26.0,1.245,10.07,850.0,0.00686879787956169,0.9420647836483227,0.9172354052118897,1.6169984063155263,1.6329225766533304,1.6403630269365495,26,22,62
SGP,Singapore,0.981132049560547,1.0,0.145,28.5,1.282,14.53,1130.0,0.009131460710476129,0.9933647700054193,0.9905211000077419,1.6381839063155264,1.64005500199749,1.6408645739989414,33,23,74
ISR,Israel,0.773584899902344,0.98,0.108,28.2,1.278,10.09,300.0,0.0024242816045511846,0.9094878743117911,0.8706969633025587,1.6046777063155264,1.6292209810846539,1.6413015863617517,22,24,46
QAT,Qatar,0.801886825561523,0.95,0.1,36.1,1.396,11.86,80.0,0.0006464750945469825,0.9109650704409287,0.872807243487041,1.6057809063155264,1.629992298679558,1.641880732340696,23,25,51
DEU,Germany,0.929245300292969,1.0,0.1552,19.0,1.14,11.54,1955.0,0.015798235122991888,0.9747815921789471,0.9639737031127815,1.6319105063155264,1.6389952224712705,1.6421450043730856,32,26,70
ESP,Spain,0.78301887512207,0.95,0.1131,24.9,1.228,10.04,720.0,0.005818275850922843,0.9037344502091325,0.8624777860130465,1.6052816663155263,1.631615554965681,1.6447010540494418,25,27,48
LTU,Lithuania,0.867924499511719,0.92,0.134,18.8,1.137,10.97,55.0,0.00044445162750105053,0.9255080849836259,0.893582978548037,1.6147115063155264,1.6353686945068535,1.6452760907598696,30,28,61
MLT,Malta,0.754716949462891,0.95,0.1105,27.0,1.26,9.4,20.0,0.00016161877363674563,0.8927231562668829,0.846747366095547,1.6055219063155264,1.6352588240158046,1.6503098224722688,29,29,49
MYS,Malaysia,0.674528274536133,0.95,0.099,26.9,1.258,11.37,500.0,0.004040469340918641,0.8603507042884571,0.8005010061263672,1.5952403063155263,1.633738486188209,1.6543496032501044,27,30,41
