iso,country,cj_cr,rank_cr,G_RoL,G_RegQ,R_grid,BIT_G7,BIT_score,ICSID,FDI_raw,FDI_score,xi_raw_v26,xi_eff_v26,rank_v26,xi_eff_A,adj_cost_A,rank_A,delta_A,xi_eff_B,adj_cost_B,rank_B,delta_B,xi_eff_C,adj_cost_C,rank_C,delta_C,shift_A,shift_B,shift_C
IND,India,1.4678776917108793,16,0.561320762634277,0.471698112487793,0.7,3,0.42857142857142855,0,0.771919134264091,0.2998219784301202,0.6572658366970754,0.8286329183485377,50,0.7502356765898458,1.9565554365303381,61,-45,0.6857529739818313,2.14053419730378,83,-67,0.6702427617984591,2.190068696560229,62,-46,-11,-33,-12
NOR,Norway,1.4702549557157467,17,0.990566024780273,0.933962249755859,1.0,5,0.7142857142857143,1,2.8543922106997,0.6323689188436117,1.0,1.0,2,0.971791300544332,1.5129328230168442,6,11,0.9314054806016123,1.578533717416051,17,0,0.8386842048310512,1.7530495355065405,24,-7,-4,-15,-22
TKM,Turkmenistan,1.4708580585068336,18,0.0660377359390259,0.0141509437561035,0.75,2,0.2857142857142857,1,3.00321589469314,0.6551529420291146,0.34420110166889556,0.6721005508344478,85,0.5128350270400956,2.8680920392589244,85,-67,0.7180911404863911,2.0482888251630067,82,-64,0.8342877676867679,1.763010456913549,26,-8,0,3,59
FIN,Finland,1.4724497087867028,19,1.0,0.96698112487793,1.0,6,0.8571428571428571,1,-0.0389119475535467,0.1994771366242256,1.0,1.0,3,0.9859317786464528,1.493460035143782,2,17,0.9659257528467826,1.5243922262628256,5,14,0.6270220627366216,2.3483220069804784,74,-55,1,-2,-71
BRA,Brazil,1.4725173215306375,20,0.419811325073242,0.400943412780762,0.7,0,0.0,0,2.86383330702497,0.6338332697886352,0.6572658366970754,0.8286329183485377,52,0.7179492257967159,2.05100481847664,69,-49,0.5670817429331191,2.596657959599141,84,-64,0.8216721687269903,1.7920983301795361,29,-9,-17,-32,23
IRN,Iran,1.478397254111062,21,0.160377349853516,0.0424528312683105,0.75,1,0.14285714285714285,0,0.310885408088419,0.23939600042485643,0.39238918348584123,0.6961945917429206,83,0.5326550125095123,2.775524907098589,84,-63,0.5571687904428091,2.6534100248797277,85,-64,0.642062204819987,2.3025763594441067,70,-49,-1,-2,13
IDN,Indonesia,1.4788541864253064,22,0.46698112487793,0.6084905624389649,0.7,5,0.7142857142857143,1,1.57116694173474,0.42202634801341177,0.6572658366970754,0.8286329183485377,53,0.8107066010909268,1.824154613315455,46,-24,0.8750328634476789,1.6900555947105087,52,-30,0.7276529808305567,2.032361888681215,51,-29,7,1,2
SWE,Sweden,1.4801451587867027,23,0.933962249755859,0.952830200195312,1.0,6,0.8571428571428571,1,3.22500296728157,0.6878018143330392,0.9914936004303152,0.9957468002151576,4,0.9798805976278182,1.5105362453037332,4,19,0.9644029329689516,1.5347787819661838,6,17,0.8637590641424235,1.7136088293976437,23,0,0,-2,-19
KAZ,Kazakhstan,1.48057804941869,24,0.367924537658691,0.53301887512207,0.8,6,0.8571428571428571,1,2.18549414987511,0.5239184366683681,0.536522576791118,0.7682612883955591,71,0.7832465981111888,1.8903089435551035,54,-30,0.9050205714957347,1.635960657746958,35,-11,0.7791307173406263,1.900294798377715,37,-13,17,36,34
UZB,Uzbekistan,1.4807195857712643,25,0.231132068634033,0.311320762634277,0.7,4,0.5714285714285714,1,2.10084902446518,0.5098053353974464,0.48083419205054023,0.7404170960252701,77,0.675776811830193,2.191137014247442,74,-49,0.812898768122313,1.821530114003651,71,-46,0.7673181397200415,1.9297335865297145,40,-15,3,6,37
