Country,iso3,p_E,theta,PUE,Constr_per_W,k_bar_MW,omega_pct,xi,c_adj,mu,Cost_Rec_pE
South Korea,KOR,0.125,25.98,1.2447000000000001,10.07,850.0,0.6868797861246618,0.9172354052118897,1.698780298158089,0.0,0.125
Latvia,LVA,0.1099,18.36,1.1304,11.086950227888604,80.0,0.06464750904560096,0.8643898469059444,1.7004806460481605,0.0,0.1099
Israel,ISR,0.108,28.19,1.2778500000000002,9.940330429521719,300.0,0.24242816395130704,0.8706969633025587,1.7020655408791951,0.0,0.108
Austria,AUT,0.1595,18.59,1.13385,11.81,250.0,0.20202346828265472,0.9857475085612776,1.7024351510605296,0.0,0.1595
Germany,DEU,0.1552,19.01,1.14015,11.545,1955.0,1.5798235111049042,0.9639737031127815,1.7059198183561446,0.0,0.1552
Spain,ESP,0.1131,24.9,1.2285,10.04,720.0,0.5818275814104085,0.8624777860130465,1.7067183226041938,0.0,0.1131
China,CHN,0.079,20.91,1.16865,6.12,31900.0,25.77819437781218,0.7084396891314014,1.707006304433982,0.0,0.079
Switzerland,CHE,0.16,15.71,1.0906500000000001,14.24,500.0,0.40404693656530943,0.9928993278864595,1.7085101779249114,0.0,0.16
Lithuania,LTU,0.134,18.8,1.137,11.051098530683115,55.0,0.044445166241578286,0.893582978548037,1.7111139768509094,0.0,0.134
Qatar,QAT,0.036,36.07,1.39605,11.79652748322306,80.0,0.06464750904560096,0.872807243487041,1.713836458493513,0.0,0.1
Singapore,SGP,0.145,28.5,1.2825,14.53,1130.0,0.9131460677842651,0.9905211000077419,1.7190079269037426,0.0,0.145
Malta,MLT,0.1105,27.0,1.26,10.97219384251857,20.0,0.016161882291703754,0.846747366095547,1.7192932758538613,0.0,0.1105
Japan,JPN,0.135,25.25,1.2337500000000001,14.635,2400.0,1.9394252814286355,0.9518601310305052,1.7199840833831834,0.0,0.135
Chile,CHL,0.13,13.44,1.08,8.61,200.0,0.16161877261400237,0.8006483359587623,1.7254084321291379,0.0,0.13
Malaysia,MYS,0.099,26.86,1.2579,11.37,500.0,0.40404693656530943,0.8005010061263672,1.7299552394150282,0.0,0.099
Slovenia,SVN,0.147,21.73,1.1809500000000002,11.806223823501343,40.0,0.03232375452280048,0.8855496254816404,1.7356471463183938,0.0,0.147
Poland,POL,0.1188,19.74,1.1511,9.16,600.0,0.48485631784200717,0.7738655598119649,1.7386045767778846,0.0,0.1188
Montenegro,MNE,0.0508,21.66,1.1799000000000002,10.429755395652966,5.0,0.0040404705729259385,0.6472000617443382,1.740448194952126,0.0,0.0508
Czechia,CZE,0.1723,19.15,1.14225,10.893443808156336,130.0,0.1050522047142533,0.8956129854065908,1.744119507524128,0.0,0.1723
Ireland,IRL,0.228,15.32,1.0848,10.05,1260.0,1.0181982724985184,0.9591171409178554,1.7507514666205726,0.0,0.228
Saudi Arabia,SAU,0.053,35.99,1.3948500000000001,11.34,400.0,0.32323754522800474,0.7720042428606676,1.7570342444864837,0.0,0.1
Vietnam,VNM,0.073,27.99,1.27485,8.789713022784149,250.0,0.20202346828265472,0.6549881216238838,1.7579731056936976,0.0,0.073
Kosovo,XKX,0.0468,21.0,1.1700000000000002,9.790438899208834,5.0,0.0040404705729259385,0.5999213675789786,1.7588627135308954,0.0,0.0468
Georgia,GEO,0.0911,19.41,1.14615,9.622288534041429,15.0,0.012121411718777815,0.6644617595705872,1.7708990941982536,0.0,0.0911
Slovakia,SVK,0.1644,20.94,1.1691,10.039397661879777,40.0,0.03232375452280048,0.7959804856098418,1.782676533182641,0.0,0.1644
India,IND,0.09,30.2,1.308,6.64,3600.0,2.9091379271732567,0.6268369276326929,1.7852097929159028,0.0,0.09
Thailand,THA,0.108,29.32,1.2948,10.055813700530598,300.0,0.24242816395130704,0.6993932614912448,1.7890344570635173,0.0,0.108
Romania,ROU,0.1564,22.08,1.1862000000000001,9.025750064824246,100.0,0.0808093913373047,0.738432792813234,1.8021292778439972,0.0,0.1564
Italy,ITA,0.162,24.01,1.2151500000000002,9.79,850.0,0.6868797861246618,0.7603065397042279,1.8051385309821808,0.0,0.162
Greenland,GRL,0.263,-3.08,1.08,13.199198941282193,5.0,0.0040404705729259385,0.9197774692590283,1.8137094224276054,0.0,0.263
Cyprus,CYP,0.185,28.0,1.2750000000000001,11.979513229643768,20.0,0.016161882291703754,0.8253072571073354,1.8171464389157683,0.0,0.185
Armenia,ARM,0.111,19.77,1.15155,9.862097054255058,10.0,0.008080941145851877,0.6264605492959779,1.82413539880468,0.0,0.111
Hungary,HUN,0.1759,23.63,1.2094500000000001,10.7345950427712,50.0,0.04040469566865235,0.7625676529685772,1.8249916158662485,0.0,0.1759
Greece,GRC,0.1652,26.09,1.24635,7.84,50.0,0.04040469566865235,0.7167141897132552,1.8266785687563767,0.0,0.1652
Indonesia,IDN,0.067,26.36,1.2504,11.21,500.0,0.40404693656530943,0.571740139761545,1.8273672980799962,0.0,0.067
Egypt,EGY,0.038,31.74,1.3311000000000002,7.568112423383335,150.0,0.12121407694535001,0.5571152102419303,1.8334225352734628,0.0,0.08
Serbia,SRB,0.1201,23.2,1.203,10.264821200956924,40.0,0.03232375452280048,0.6413429189958314,1.8348448393500685,0.0,0.1201
Morocco,MAR,0.108,28.54,1.2831000000000001,7.849636416967102,50.0,0.04040469566865235,0.6036446027987306,1.8364726626702015,0.0,0.108
Argentina,ARG,0.06,22.27,1.1890500000000002,10.309634215763625,150.0,0.12121407694535001,0.5319951654372281,1.8370585972869986,0.0,0.06
South Africa,ZAF,0.04,23.54,1.2081,10.195,250.0,0.20202346828265472,0.5937965374828618,1.8373711099264236,0.0,0.095
Brazil,BRA,0.063,27.34,1.2651000000000001,10.75,1200.0,0.9697126457446213,0.5420958656467225,1.8432510973131147,0.0,0.063
Colombia,COL,0.075,25.48,1.2372,7.49,150.0,0.12121407694535001,0.5185247552713599,1.8495065934646195,0.0,0.075
Bulgaria,BGR,0.1546,23.95,1.21425,10.24415568694581,75.0,0.060607038472675005,0.6760735783345951,1.8549623090675964,0.0,0.1546
Kazakhstan,KAZ,0.066,24.93,1.22895,9.36861907978821,100.0,0.0808093913373047,0.5425307642216732,1.8612531893188002,0.0,0.085
Croatia,HRV,0.2057,23.7,1.2105000000000001,9.670476745863516,30.0,0.024242813376948596,0.7313724591346827,1.8718642745575385,0.0,0.2057
Bosnia and Herz.,BIH,0.0985,21.57,1.17855,9.222856054626996,10.0,0.008080941145851877,0.5451328451654455,1.872357210373632,0.0,0.0985
North Macedonia,MKD,0.1352,23.96,1.2144000000000001,9.887689798575549,18.0,0.014545686014047751,0.6018838427439712,1.8856858175136004,0.0,0.1352
Turkey,TUR,0.086,24.44,1.2216,10.304618521310772,350.0,0.2828328495593524,0.5259761726726419,1.8873585984392247,0.0,0.086
